14,6.3571,5.4998,1.9134,1.2489,8.5895,3.4347,471.56,89.092,3097.2,2745.2,1145,44.658,420.99,1.7685,2.164,16.031,56.143,508.63,107.94,22822,2.2351e+05,565.57
6,9.1667,4.916,0.88274,0.50333,6.2746,1.5744,659.82,11.933,6032.5,3240.8,5,19.2,39.041,0.96151,1.7228,17.998,32.102,727.04,12.982,13757,27912,629.53
1,3,0,1.7894,0,5.3682,0,748.88,0,2246.7,0,1,7,0,1.2683,0,8.8782,0,737.64,0,5163.5,0,456.65
1,8,0,1.515,0,12.12,0,489.06,0,3912.4,0,1060,16.932,106.21,1.8083,2.1631,12.116,38.004,549.7,116.27,9203,54743,531.27
1,12,0,0.45887,0,5.5065,0,532.55,0,6390.6,0,6,13.833,20.99,1.7478,2.4858,17.589,24.562,516.22,32.39,7545.9,11606,519.79
0,0,0,0,0,0,0,0,0,0,0,1441,19.192,134.07,1.8246,2.2269,12.376,47.621,523.05,111.01,10043,70016,554.29
0,0,0,0,0,0,0,0,0,0,0,1058,39.388,364.24,1.8195,2.1904,15.43,72.531,518.04,115.31,20702,1.9474e+05,504.57
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552.53
0,0,0,0,0,0,0,0,0,0,0,1287,26.21,248.9,1.7666,2.2276,11.512,39.596,537.32,104.86,12765,1.1639e+05,497.84
3,18,17.349,2.1404,1.5613,24.386,16.301,589.76,87.98,9805.1,9011.2,46,18.739,57.65,1.5031,1.9365,19.609,55.367,585.95,163.42,10427,30034,520.04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419.84
24,10.208,12.165,1.8854,1.222,11.817,7.5581,506.41,125.66,4849.8,4719.4,444,37.725,217.91,1.8419,2.2339,16.387,45.861,501.96,146.94,18602,1.0492e+05,545.21
4,8.5,6.455,1.5019,0.66461,10.161,2.9695,585.2,89.588,4608.2,2779.2,276,23.833,75.439,1.7541,2.1015,18.839,40.09,541.91,137.33,12583,35916,534.17
37,10.784,18.192,1.7789,1.2387,10.335,5.5656,533.22,156.43,5601.3,8823.9,22,20.909,34.311,1.0293,1.366,16.895,26.083,544.82,184.08,12224,20371,442.72
10,6,4.4472,1.673,0.84387,7.5177,2.596,545.99,63.997,3419.7,2820.5,15,5.4667,7.5675,1.9456,2.3286,9.2924,9.3167,472.2,20.26,2576.4,3527.4,461.35
